region_id,region,zip
99999,98847; WA; Wenatchee; Chelan County; Peshastin,98847
99998,98846; WA; Okanogan County; Pateros,98846
99997,98845; WA; Wenatchee; Douglas County; Palisades,98845
99996,98844; WA; Okanogan County; Oroville,98844
99995,98843; WA; Wenatchee; Douglas County; Orondo,98843
99994,98841; WA; Okanogan County; Omak,98841
99993,98840; WA; Okanogan County; Okanogan,98840
99992,98837; WA; Moses Lake; Grant County,98837
99991,98836; WA; Wenatchee; Chelan County,98836
99990,98834; WA; Okanogan County; Methow,98834
99989,98833; WA; Okanogan County; Mazama,
99988,98832; WA; Moses Lake; Grant County; Krupp,98832
99987,98831; WA; Wenatchee; Chelan County; Manson,98831
99986,98830; WA; Wenatchee; Douglas County; Mansfield,98830
99985,98829; WA; Okanogan County; Okanogan,98829
99984,98828; WA; Wenatchee; Chelan County; Malaga,98828
99983,98827; WA; Okanogan County; Loomis,98827
99982,98826; WA; Wenatchee; Chelan County; Leavenworth,98826
99980,98823; WA; Moses Lake; Grant County; Ephrata,98823
99979,98822; WA; Wenatchee; Chelan County; Entiat,
99978,98821; WA; Wenatchee; Chelan County; Cashmere,98821
99977,98819; WA; Okanogan County; Omak,98819
99976,98817; WA; Wenatchee; Chelan County; Chelan Falls,98817
99975,98816; WA; Wenatchee; Chelan County; Chelan,98816
99974,98815; WA; Wenatchee; Chelan County; Cashmere,98815
99973,98814; WA; Okanogan County; Carlton,98814
99972,98813; WA; Wenatchee; Douglas County; Bridgeport,98813
99971,98812; WA; Okanogan County; Brewster,98812
99970,98811; WA; Wenatchee; Chelan County; Entiat,98811
99968,98802; WA; Wenatchee; Douglas County; East Wenatchee Bench,98802
99967,98801; WA; Wenatchee; Chelan County,98801
99965,98686; WA; Portland-Vancouver-Hillsboro; Clark County; Vancouver,98686
99964,98685,98685
99963,98684; WA; Portland-Vancouver-Hillsboro; Clark County; Vancouver,98684
99962,98683,98683
99961,98682,98682
99960,98675; WA; Portland-Vancouver-Hillsboro; Clark County; Yacolt,98675
99959,98674; WA; Longview; Cowlitz County; Woodland,98674
99958,98673; WA; Klickitat County; Centerville,98673
99957,98672; WA; Klickitat County; White Salmon,98672
99956,98671,98671
99955,98670; WA; Klickitat County; Wahkiacus,98670
99951,98665; WA; Portland-Vancouver-Hillsboro; Clark County; Vancouver,98665
99950,98664,98664
99949,98663; WA; Portland-Vancouver-Hillsboro; Clark County; Vancouver,98663
99948,98662,98662
99947,98661,98661
99946,98660,98660
99945,98651; WA; Portland-Vancouver-Hillsboro; Skamania County; Underwood,98651
99944,98650; WA; Klickitat County; Trout Lake,98650
99943,98649; WA; Longview; Cowlitz County; Toutle,98649
99942,98648; WA; Portland-Vancouver-Hillsboro; Skamania County; Stevenson,98648
99941,98647; WA; Wahkiakum County; Skamokawa,98647
99940,98645; WA; Longview; Cowlitz County; Silverlake,98645
99939,98644; WA; Pacific County; Ilwaco,
99938,98643; WA; Wahkiakum County; Rosburg,98643
99937,98642,98642
99936,98641; WA; Pacific County; Ocean Park,98641
99935,98640; WA; Pacific County; Ocean Park,98640
99934,98639; WA; Portland-Vancouver-Hillsboro; Skamania County; North Bonneville,98639
99933,98638; WA; Pacific County; Naselle,98638
99931,98635; WA; Klickitat County; Lyle,98635
99930,98632; WA; Longview; Cowlitz County,98632
99929,98631; WA; Pacific County; Long Beach,98631
99928,98629; WA; Portland-Vancouver-Hillsboro; Clark County; La Center,98629
99927,98628; WA; Klickitat County; Lyle,98628
99926,98626; WA; Longview; Cowlitz County; Kelso,98626
99925,98625; WA; Longview; Cowlitz County; Kalama,98625
99924,98624; WA; Pacific County; Ilwaco,98624
99923,98623; WA; Klickitat County; White Salmon,98623
99921,98621; WA; Wahkiakum County; Grays River,98621
99920,98620; WA; Klickitat County; Goldendale,98620
99919,98619; WA; Klickitat County; Glenwood,98619
99918,98617; WA; Klickitat County; Dallesport,98617
99917,98616; WA; Longview; Cowlitz County; Cougar,98616
99916,98614; WA; Pacific County; Chinook,98614
99915,98613; WA; Klickitat County; Centerville,98613
99914,98612; WA; Wahkiakum County; Cathlamet,98612
99913,98611; WA; Longview; Cowlitz County; Castle Rock,98611
99912,98610; WA; Portland-Vancouver-Hillsboro; Skamania County; Carson,98610
99911,98609; WA; Longview; Cowlitz County; Kelso,98609
99910,98607,98607
99909,98606; WA; Portland-Vancouver-Hillsboro; Clark County; Brush Prairie,98606
99908,98605; WA; Portland-Vancouver-Hillsboro; Skamania County; Bingen,98605
99907,98604; WA; Portland-Vancouver-Hillsboro; Clark County; Battle Ground,98604
99906,98603; WA; Longview; Cowlitz County; Ariel,98603
99905,98602; WA; Klickitat County; Appleton,98602
99904,98601; WA; Portland-Vancouver-Hillsboro; Clark County; Amboy,98601
99902,98597; WA; Olympia-Tumwater; Thurston County; Yelm,98597
99901,98596; WA; Centralia; Lewis County; Winlock,98596
99900,98595; WA; Aberdeen; Grays Harbor County; Westport,98595
99899,98593; WA; Centralia; Lewis County; Vader,
99898,98592; WA; Shelton; Mason County; Union,98592
99897,98591; WA; Centralia; Lewis County; Toledo,98591
99896,98590; WA; Pacific County; Tokeland,98590
99895,98589; WA; Olympia-Tumwater; Thurston County; Tenino,98589
99894,98588; WA; Shelton; Mason County; Tahuya,98588
99893,98587; WA; Aberdeen; Grays Harbor County; Moclips,98587
99892,98586; WA; Pacific County; South Bend,98586
99891,98585; WA; Centralia; Lewis County; Silver Creek,98585
99890,98584; WA; Shelton; Mason County,98584
99889,98583; WA; Aberdeen; Grays Harbor County; Elma,98583
99888,98582; WA; Centralia; Lewis County; Salkum,98582
99887,98581; WA; Longview; Cowlitz County; Ryderwood,98581
99886,98580; WA; Seattle-Tacoma-Bellevue; Pierce County; Roy,98580
99885,98579; WA; Olympia-Tumwater; Thurston County; Rochester,98579
99884,98577; WA; Pacific County; Raymond,98577
99883,98576; WA; Olympia-Tumwater; Thurston County; Rainier,98576
99882,98575; WA; Aberdeen; Grays Harbor County; Quinault,98575
99881,98572; WA; Centralia; Lewis County; Pe Ell,98572
99880,98571; WA; Aberdeen; Grays Harbor County; Pacific Beach,98571
99879,98570; WA; Centralia; Lewis County; Onalaska,98570
99878,98569; WA; Aberdeen; Grays Harbor County; Ocean Shores,98569
99877,98568; WA; Aberdeen; Grays Harbor County; Oakville,98568
99876,98566; WA; Aberdeen; Grays Harbor County; Humptulips,98566
99875,98565; WA; Centralia; Lewis County; Napavine,98565
99874,98564; WA; Centralia; Lewis County; Mossyrock,98564
99873,98563; WA; Aberdeen; Grays Harbor County; Montesano,98563
99872,98562; WA; Aberdeen; Grays Harbor County; Moclips,98562
99870,98560; WA; Shelton; Mason County; Matlock,98560
99868,98558; WA; Seattle-Tacoma-Bellevue; Pierce County; Roy,
99867,98557; WA; Aberdeen; Grays Harbor County; McCleary,98557
99865,98555; WA; Shelton; Mason County; Lilliwaup,98555
99863,98552; WA; Aberdeen; Grays Harbor County; Humptulips,98552
